                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6178,                 2.1588,                 1.2612,                0.30347,                0.23917,                0.19756,                0.06952,                 2.8848,                 2.6351,                 1.2042,               0.067177,             6.5778e-05,             6.5778e-05
                      2,                 2.2072,                 1.4908,                 1.0698,                0.32437,                0.32063,                0.24161,                0.09686,                  2.433,                 2.3371,                 1.0699,                0.03391,             0.00013241,             0.00013241
                      3,                 2.0294,                 1.3762,                 1.0314,                0.47746,                0.40961,                0.40917,                0.19399,                 1.8961,                 1.4037,                 1.0112,             0.00064336,             0.00019892,             0.00019892
                      4,                 1.9429,                 1.3103,                 1.0121,                0.53089,                0.45259,                0.47464,                0.24753,                 1.7494,                 1.3279,                 1.0027,             0.00019956,             0.00019956,             0.00019956
                      5,                 1.8822,                 1.2718,                  1.001,                0.49692,                0.44567,                0.45298,                0.23847,                 1.7081,                 1.3196,                0.98456,             0.00019956,             0.00019956,             0.00019956
                      6,                 1.8381,                 1.2405,                0.99074,                   0.56,                0.46499,                0.50394,                0.26647,                  1.721,                 1.2528,                  1.003,             0.00019922,             0.00019922,             0.00019922
                      7,                 1.8006,                 1.2176,                0.98644,                0.57808,                0.45883,                0.51292,                0.28208,                 1.6458,                 1.2586,                0.98963,             0.00019878,             0.00019878,             0.00019878
                      8,                 1.7817,                 1.2028,                0.98031,                0.56988,                0.50206,                0.53253,                0.28624,                 1.6178,                 1.1952,                0.96651,             0.00019825,             0.00019825,             0.00019825
                      9,                 1.7459,                 1.1755,                 0.9776,                 0.5062,                0.47797,                0.47851,                0.26377,                 1.6125,                 1.3251,                0.96682,             0.00019762,             0.00019762,             0.00019762
                     10,                 1.7257,                 1.1577,                0.97143,                0.57116,                0.50212,                0.53437,                0.29478,                 1.6071,                 1.1574,                0.96815,             0.00019689,             0.00019689,             0.00019689
                     11,                 1.6943,                 1.1289,                0.96838,                0.60752,                0.53362,                0.57582,                0.32229,                 1.5606,                 1.1477,                0.95315,             0.00019607,             0.00019607,             0.00019607
                     12,                 1.6683,                 1.1016,                0.95934,                0.56908,                0.53502,                0.55538,                0.31366,                 1.5313,                 1.2072,                0.94914,             0.00019515,             0.00019515,             0.00019515
                     13,                 1.6435,                 1.0855,                0.95682,                0.64959,                0.55724,                0.62136,                0.35713,                 1.5135,                 1.0566,                0.94893,             0.00019415,             0.00019415,             0.00019415
                     14,                 1.6076,                 1.0625,                0.95188,                0.58382,                0.56135,                0.57565,                0.32849,                  1.526,                 1.2521,                0.94746,             0.00019305,             0.00019305,             0.00019305
                     15,                 1.6051,                 1.0483,                0.94718,                0.66732,                0.58619,                0.65109,                0.38111,                 1.4845,                 1.0208,                0.94576,             0.00019186,             0.00019186,             0.00019186
                     16,                 1.5854,                 1.0399,                0.94405,                0.59599,                  0.578,                0.59646,                0.34705,                 1.4878,                 1.0809,                0.93893,             0.00019058,             0.00019058,             0.00019058
                     17,                 1.5639,                 1.0337,                0.94189,                0.64668,                0.57684,                0.63239,                 0.3725,                 1.4822,                 1.0504,                0.93915,             0.00018921,             0.00018921,             0.00018921
                     18,                 1.5649,                  1.025,                0.94284,                0.59217,                0.56665,                0.58985,                0.34776,                 1.4622,                 1.1644,                0.93955,             0.00018775,             0.00018775,             0.00018775
                     19,                 1.5522,                 1.0198,                0.94068,                0.67687,                0.58107,                0.65849,                0.39344,                 1.4677,                  1.037,                0.94394,             0.00018621,             0.00018621,             0.00018621
                     20,                 1.5462,                 1.0166,                0.93845,                 0.6264,                 0.5958,                0.62622,                0.37134,                 1.4659,                 1.0427,                0.93878,             0.00018459,             0.00018459,             0.00018459
                     21,                 1.5169,                0.99837,                0.93089,                0.62947,                0.59077,                0.63082,                   0.37,                 1.4595,                 1.0533,                0.93117,             0.00018288,             0.00018288,             0.00018288
                     22,                 1.5048,                0.99645,                0.93315,                0.69211,                0.60515,                0.68412,                0.41361,                 1.4346,                0.98651,                0.93374,             0.00018109,             0.00018109,             0.00018109
                     23,                 1.5047,                 0.9903,                0.93362,                0.57601,                0.59649,                0.60224,                 0.3605,                 1.4369,                 1.1009,                0.92882,             0.00017923,             0.00017923,             0.00017923
                     24,                 1.4932,                0.98215,                0.93069,                0.55491,                0.58893,                0.56924,                  0.341,                 1.4279,                 1.1729,                0.92333,             0.00017728,             0.00017728,             0.00017728
                     25,                 1.5106,                0.99073,                0.93324,                0.64096,                0.59586,                0.64718,                0.39444,                 1.4368,                 1.0153,                0.93927,             0.00017526,             0.00017526,             0.00017526
                     26,                 1.4864,                0.97834,                0.92939,                0.69433,                0.63145,                0.70276,                0.42854,                 1.4048,                0.95964,                0.92731,             0.00017317,             0.00017317,             0.00017317
                     27,                 1.4717,                0.97233,                0.92677,                0.67071,                 0.6082,                 0.6751,                0.41593,                  1.415,                 1.0167,                0.93036,               0.000171,               0.000171,               0.000171
                     28,                 1.4554,                0.96744,                0.92701,                0.63705,                 0.6049,                0.65187,                0.39741,                 1.4204,                 1.0513,                0.93303,             0.00016877,             0.00016877,             0.00016877
